\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000023_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:45 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.65687 0.00869 
 2454034.701953 14.64081 0.00801 
 2454034.706575 14.66072 0.00911 
 2454034.711195 14.66937 0.00925 
 2454034.715816 14.65137 0.00831 
 2454034.721280 14.67944 0.00846 
 2454034.726743 14.66868 0.00801 
 2454034.728931 14.65307 0.00823 
 2454034.733552 14.66867 0.00809 
 2454034.738171 14.67318 0.00813 
 2454034.742791 14.67572 0.00793 
 2454034.747412 14.66426 0.00867 
 2454034.752032 14.64934 0.00740 
 2454034.756652 14.63484 0.00843 
 2454034.761271 14.67150 0.00779 
 2454034.765892 14.65423 0.00816 
 2454034.770512 14.65447 0.00815 
 2454034.775132 14.66723 0.00822 
 2454034.788988 14.63856 0.00836 
 2454034.793608 14.66118 0.00817 
 2454035.691028 14.64994 0.00908 
 2454035.695648 14.66646 0.00924 
 2454035.700270 14.66417 0.00947 
 2454035.704890 14.67365 0.00958 
 2454035.709512 14.63150 0.00936 
 2454035.714132 14.65651 0.00930 
 2454035.719593 14.64329 0.00921 
 2454035.721781 14.65897 0.00923 
 2454035.726402 14.65509 0.00910 
 2454035.731024 14.64495 0.00942 
 2454035.735647 14.64611 0.00913 
 2454035.740269 14.63880 0.00940 
 2454035.744889 14.65496 0.00866 
 2454035.749509 14.66108 0.00846 
 2454035.754130 14.66023 0.00875 
 2454035.758752 14.64999 0.00894 
 2454035.763372 14.65503 0.00860 
 2454035.767992 14.65278 0.00884 
 2454035.772612 14.65101 0.00888 
 2454035.777233 14.65904 0.00876 
 2454035.781854 14.65541 0.00922 
 2454035.786476 14.67203 0.00873 
 2454035.791096 14.62823 0.00913 
 2454036.691428 14.62705 0.00907 
 2454036.696047 14.66883 0.00880 
 2454036.700668 14.64014 0.00969 
 2454036.705288 14.65363 0.00860 
 2454036.709908 14.64663 0.00867 
 2454036.715372 14.65266 0.00873 
 2454036.720834 14.64559 0.00774 
 2454036.723022 14.64889 0.00973 
 2454036.727641 14.63316 0.00748 
 2454036.732260 14.65193 0.00940 
 2454036.736880 14.63918 0.00927 
 2454036.741499 14.65723 0.00862 
 2454036.746121 14.66170 0.00866 
 2454036.750741 14.65855 0.00819 
 2454036.755361 14.63245 0.00937 
 2454036.759981 14.64974 0.00888 
 2454036.764603 14.63923 0.00874 
 2454036.769224 14.65410 0.00849 
 2454036.773844 14.66751 0.00741 
 2454036.778464 14.63747 0.00843 
 2454036.783085 14.66194 0.00932 
 2454036.787706 14.63214 0.00862 
 2454037.685167 14.65969 0.00858 
 2454037.689788 14.63762 0.00816 
 2454037.694408 14.66821 0.00819 
 2454037.699029 14.68174 0.00940 
 2454037.703650 14.63997 0.00868 
 2454037.708272 14.66729 0.00819 
 2454037.713737 14.63350 0.00822 
 2454037.715925 14.64619 0.00788 
 2454037.720546 14.63454 0.00809 
 2454037.725167 14.64675 0.00798 
 2454037.729789 14.64726 0.00795 
 2454037.734411 14.65678 0.00777 
 2454037.739033 14.66569 0.00720 
 2454037.743653 14.67507 0.00742 
 2454037.748274 14.65889 0.00784 
 2454037.752895 14.65181 0.00799 
 2454037.757517 14.65966 0.00729 
 2454037.762139 14.65373 0.00772 
 2454037.766760 14.65391 0.00742 
 2454037.771381 14.65686 0.00770 
 2454037.776002 14.65594 0.00767 
 2454037.780624 14.65492 0.00787 
 2454037.785245 14.66251 0.00740 
 2454038.735588 14.66416 0.00773 
 2454038.740209 14.64699 0.00775 
 2454038.758691 14.64024 0.00761 
 2454038.767932 14.65238 0.00711 
 2454038.772554 14.66367 0.00718 
 2454038.777175 14.61804 0.00723 
 2454038.781796 14.66493 0.00674 
 2454039.676434 14.65765 0.00970 
 2454039.681054 14.66001 0.00979 
 2454039.685675 14.64601 0.00984 
 2454039.690296 14.65813 0.00929 
