\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1775     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:02:14 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.12401 0.00913 
 2454034.701953 14.12270 0.00845 
 2454034.706575 14.11693 0.01006 
 2454034.711195 14.11680 0.00905 
 2454034.715816 14.09830 0.00857 
 2454034.721280 14.13047 0.00935 
 2454034.726743 14.11384 0.00854 
 2454034.728931 14.11565 0.00833 
 2454034.733552 14.11358 0.00825 
 2454034.738171 14.11528 0.00836 
 2454034.742791 14.12517 0.00821 
 2454034.747412 14.10992 0.00874 
 2454034.752032 14.12805 0.00854 
 2454034.756652 14.12411 0.01111 
 2454034.761271 14.12679 0.00804 
 2454034.765892 14.11537 0.00818 
 2454034.770512 14.11166 0.00794 
 2454034.775132 14.12793 0.00815 
 2454034.788988 14.10379 0.00867 
 2454034.793608 14.12327 0.00815 
 2454035.691028 14.09944 0.00884 
 2454035.695648 14.12619 0.00908 
 2454035.700270 14.10930 0.00917 
 2454035.704890 14.11327 0.00931 
 2454035.709512 14.10287 0.00947 
 2454035.714132 14.11876 0.00918 
 2454035.719593 14.12457 0.00872 
 2454035.721781 14.11852 0.00874 
 2454035.726402 14.12257 0.00879 
 2454035.731024 14.12639 0.00881 
 2454035.735647 14.10625 0.00850 
 2454035.740269 14.10945 0.00868 
 2454035.744889 14.12012 0.00836 
 2454035.749509 14.12869 0.00844 
 2454035.754130 14.12559 0.00822 
 2454035.758752 14.12814 0.00843 
 2454035.763372 14.11467 0.00842 
 2454035.767992 14.11255 0.00812 
 2454035.772612 14.11910 0.00807 
 2454035.777233 14.11621 0.00822 
 2454035.781854 14.12864 0.00797 
 2454035.786476 14.11180 0.00829 
 2454035.791096 14.10957 0.00802 
 2454036.691428 14.11865 0.00849 
 2454036.696047 14.11265 0.00909 
 2454036.700668 14.11865 0.00899 
 2454036.705288 14.11947 0.00883 
 2454036.709908 14.11819 0.00904 
 2454036.715372 14.12494 0.00887 
 2454036.720834 14.12840 0.00875 
 2454036.723022 14.13528 0.00949 
 2454036.727641 14.12100 0.00760 
 2454036.732260 14.11242 0.00900 
 2454036.736880 14.11278 0.00853 
 2454036.741499 14.12196 0.00857 
 2454036.746121 14.13802 0.00885 
 2454036.750741 14.12566 0.00830 
 2454036.755361 14.10128 0.00983 
 2454036.759981 14.11474 0.00859 
 2454036.764603 14.13140 0.00875 
 2454036.769224 14.11328 0.00889 
 2454036.773844 14.11098 0.00824 
 2454036.778464 14.10894 0.00915 
 2454036.783085 14.12532 0.00857 
 2454036.787706 14.12685 0.00832 
 2454037.685167 14.12898 0.00846 
 2454037.689788 14.12893 0.00908 
 2454037.694408 14.11186 0.00717 
 2454037.699029 14.11197 0.00734 
 2454037.703650 14.12748 0.00746 
 2454037.708272 14.12916 0.00824 
 2454037.713737 14.11326 0.00812 
 2454037.720546 14.11653 0.00816 
 2454037.725167 14.11607 0.00802 
 2454037.729789 14.10918 0.00781 
 2454037.734411 14.11641 0.00776 
 2454037.739033 14.11461 0.00765 
 2454037.743653 14.12431 0.00781 
 2454037.748274 14.12107 0.00758 
 2454037.752895 14.11268 0.00762 
 2454037.757517 14.11393 0.00765 
 2454037.762139 14.11736 0.00764 
 2454037.766760 14.11619 0.00772 
 2454037.771381 14.11069 0.00753 
 2454037.776002 14.11642 0.00767 
 2454037.780624 14.09856 0.00758 
 2454037.785245 14.12560 0.00752 
 2454038.735588 14.12693 0.00815 
 2454038.740209 14.12224 0.00794 
 2454038.758691 14.12529 0.00756 
 2454038.767932 14.12102 0.00653 
 2454038.772554 14.11671 0.00770 
 2454038.777175 14.10977 0.00648 
 2454038.781796 14.11521 0.00745 
 2454039.676434 14.11186 0.01121 
 2454039.681054 14.12125 0.01133 
 2454039.685675 14.11473 0.01110 
 2454039.690296 14.12008 0.01088 
 2454039.694917 14.12186 0.01095 
