\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000017_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:38 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454048.696984 13.43630 0.00612 
 2454048.699084 13.43124 0.00628 
 2454048.703605 13.41404 0.00598 
 2454048.708124 13.43132 0.00626 
 2454048.712704 13.41837 0.00594 
 2454048.717223 13.41160 0.00609 
 2454048.721743 13.41894 0.00609 
 2454048.726267 13.41774 0.00598 
 2454048.730787 13.41866 0.00618 
 2454048.735304 13.42464 0.00599 
 2454048.739824 13.42696 0.00598 
 2454048.744344 13.42065 0.00613 
 2454048.748864 13.42175 0.00618 
 2454048.753384 13.43183 0.00612 
 2454050.661443 13.41095 0.00504 
 2454050.665961 13.42766 0.00513 
 2454050.670486 13.43149 0.00540 
 2454050.675859 13.42443 0.00499 
 2454050.681227 13.42624 0.00512 
 2454050.686590 13.42425 0.00497 
 2454050.691959 13.42355 0.00490 
 2454050.694063 13.42506 0.00487 
 2454050.698585 13.43282 0.00515 
 2454050.703103 13.42935 0.00500 
 2454050.707628 13.42965 0.00484 
 2454050.712143 13.42665 0.00502 
 2454050.721189 13.43698 0.00502 
 2454050.725707 13.42048 0.00508 
 2454050.730228 13.41270 0.00507 
 2454050.734754 13.43065 0.00513 
 2454050.739272 13.42974 0.00524 
 2454050.743796 13.42836 0.00526 
 2454050.748318 13.43049 0.00524 
 2454052.657430 13.42644 0.00554 
 2454052.661956 13.43689 0.00522 
 2454052.666475 13.40835 0.00499 
 2454052.671844 13.42343 0.00472 
 2454052.677207 13.39798 0.00528 
 2454052.682575 13.41752 0.00513 
 2454052.687946 13.43231 0.00502 
 2454052.690052 13.42833 0.00490 
 2454052.694574 13.42012 0.00501 
 2454052.699097 13.42107 0.00528 
 2454052.703616 13.42185 0.00506 
 2454052.708139 13.42095 0.00515 
 2454052.712656 13.41541 0.00508 
 2454052.717178 13.42237 0.00526 
 2454052.721694 13.41360 0.00500 
 2454052.730734 13.42603 0.00522 
 2454052.735259 13.41891 0.00509 
 2454052.739783 13.44268 0.00492 
 2454052.744299 13.43030 0.00539 
 2454053.651245 13.42485 0.00488 
 2454053.655770 13.43359 0.00530 
 2454053.660295 13.42017 0.00484 
 2454053.664818 13.42468 0.00519 
 2454053.670182 13.41687 0.00509 
 2454053.675551 13.43025 0.00487 
 2454053.680921 13.42082 0.00505 
 2454053.686292 13.42037 0.00499 
 2454053.688397 13.41912 0.00506 
 2454053.692922 13.42688 0.00499 
 2454053.697438 13.42346 0.00469 
 2454053.706490 13.41994 0.00468 
 2454053.711014 13.43336 0.00481 
 2454053.715536 13.42858 0.00465 
 2454053.720054 13.42699 0.00462 
 2454053.724578 13.41759 0.00467 
 2454053.729100 13.42088 0.00467 
 2454053.733619 13.41840 0.00473 
 2454053.738144 13.42234 0.00469 
 2454053.742669 13.41480 0.00471 
 2454054.652340 13.41783 0.00489 
 2454054.656858 13.41123 0.00472 
 2454054.661383 13.41718 0.00482 
 2454054.666755 13.43251 0.00470 
 2454054.672125 13.43430 0.00468 
 2454054.677497 13.42691 0.00478 
 2454054.682867 13.43804 0.00477 
 2454054.684971 13.42874 0.00465 
 2454054.689493 13.42016 0.00471 
 2454054.694012 13.42364 0.00469 
 2454054.698536 13.42319 0.00470 
 2454054.703058 13.43450 0.00463 
 2454054.707575 13.40937 0.00469 
 2454054.712099 13.42557 0.00462 
 2454054.716624 13.42818 0.00456 
 2454054.721147 13.42235 0.00463 
 2454054.725665 13.41976 0.00470 
 2454054.730189 13.42372 0.00470 
 2454054.734714 13.42661 0.00460 
 2454054.739238 13.41775 0.00455 
 2454055.646626 13.42105 0.00516 
 2454055.651150 13.41616 0.00506 
 2454055.655676 13.41761 0.00490 
 2454055.661040 13.41741 0.00503 
 2454055.666408 13.42009 0.00503 
 2454055.671778 13.41828 0.00489 
 2454055.677148 13.40873 0.00488 
 2454055.679253 13.42002 0.00481 
 2454055.683777 13.42084 0.00478 
 2454055.688302 13.42284 0.00472 
 2454055.692827 13.41170 0.00463 
 2454055.697343 13.40878 0.00468 
 2454055.701867 13.43545 0.00466 
 2454055.706389 13.42365 0.00472 
 2454055.710907 13.41565 0.00463 
 2454055.715432 13.42702 0.00468 
 2454055.719956 13.42424 0.00472 
 2454055.724473 13.42119 0.00470 
 2454055.728997 13.42487 0.00460 
 2454055.733520 13.42134 0.00456 
 2454056.647318 13.40743 0.00496 
 2454056.651837 13.42753 0.00490 
 2454056.656361 13.42750 0.00474 
 2454056.661723 13.42645 0.00491 
 2454056.667091 13.42258 0.00491 
 2454056.672454 13.41524 0.00483 
 2454056.677821 13.41811 0.00470 
 2454056.679924 13.41679 0.00475 
 2454056.684448 13.42085 0.00477 
 2454056.688972 13.42728 0.00467 
 2454056.693492 13.41413 0.00475 
 2454056.698015 13.42619 0.00468 
 2454056.702537 13.41669 0.00465 
 2454056.707056 13.42189 0.00457 
 2454056.711581 13.42547 0.00469 
 2454056.716105 13.43031 0.00471 
 2454056.720631 13.41448 0.00463 
 2454056.725154 13.42167 0.00464 
 2454056.729671 13.42207 0.00450 
 2454056.734196 13.41295 0.00455 
 2454057.641528 13.43588 0.00528 
 2454057.646052 13.41639 0.00497 
 2454057.650575 13.41833 0.00502 
 2454057.655939 13.42461 0.00493 
 2454057.661302 13.42363 0.00515 
 2454057.666667 13.42578 0.00499 
 2454057.672036 13.43547 0.00488 
 2454057.677400 13.43202 0.00504 
 2454057.679503 13.41895 0.00490 
 2454057.684026 13.43085 0.00482 
 2454057.688542 13.42309 0.00472 
 2454057.693066 13.42545 0.00494 
 2454057.697587 13.42924 0.00479 
 2454057.702107 13.42280 0.00480 
 2454057.706631 13.41980 0.00490 
 2454057.711156 13.42827 0.00488 
 2454057.715681 13.42698 0.00483 
 2454057.720203 13.42669 0.00478 
 2454057.724722 13.43108 0.00471 
 2454057.729246 13.42381 0.00490 
 2454058.641923 13.41229 0.00474 
 2454058.646443 13.42477 0.00468 
 2454058.650963 13.42495 0.00491 
 2454058.656328 13.41236 0.00479 
 2454058.661697 13.42315 0.00478 
 2454058.667066 13.41941 0.00468 
 2454058.672429 13.43092 0.00476 
 2454058.674533 13.42528 0.00475 
 2454058.679057 13.41989 0.00468 
 2454058.683579 13.42641 0.00473 
 2454058.688097 13.41521 0.00461 
 2454058.692621 13.41439 0.00471 
 2454058.697147 13.42466 0.00465 
 2454058.701672 13.42417 0.00463 
 2454058.706194 13.42692 0.00453 
 2454058.710713 13.41547 0.00460 
 2454058.715237 13.42166 0.00462 
 2454058.719762 13.42121 0.00464 
 2454058.724285 13.41791 0.00457 
 2454058.728802 13.42627 0.00455 
 2454059.580521 13.42554 0.00520 
 2454059.585045 13.41422 0.00507 
 2454059.589567 13.41388 0.00516 
 2454059.594085 13.41944 0.00533 
 2454059.598608 13.41152 0.00508 
 2454059.603125 13.41091 0.00516 
 2454059.607649 13.42247 0.00499 
 2454059.612171 13.42314 0.00507 
 2454059.616690 13.43347 0.00514 
 2454059.621213 13.42793 0.00494 
 2454059.625736 13.42635 0.00497 
 2454059.630255 13.41110 0.00505 
 2454059.634780 13.41806 0.00490 
 2454059.639301 13.42769 0.00500 
 2454059.643819 13.42064 0.00485 
 2454059.648340 13.41951 0.00498 
 2454059.653704 13.41111 0.00473 
 2454059.659067 13.42889 0.00487 
 2454059.664434 13.41330 0.00476 
