\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_020425_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 601      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:57:48 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454450.664386 11.86936 0.00193 
 2454460.634944 11.85009 0.00225 
 2454460.640304 11.85940 0.00223 
 2454461.630294 11.86499 0.00195 
 2454461.635650 11.86599 0.00200 
 2454461.641009 11.85380 0.00201 
 2454462.631829 11.87467 0.00192 
 2454462.637189 11.88592 0.00189 
 2454463.627305 11.86683 0.00188 
 2454463.632664 11.86881 0.00184 
 2454464.622717 11.86784 0.00193 
 2454464.628076 11.86360 0.00196 
 2454464.633437 11.85668 0.00191 
 2454465.623549 11.85900 0.00197 
 2454465.628908 11.86107 0.00193 
 2454731.906846 11.84668 0.00203 
 2454731.913903 11.86323 0.00199 
 2454731.920953 11.87999 0.00186 
 2454731.928018 11.88462 0.00181 
 2454731.935075 11.86848 0.00196 
 2454731.942128 11.87129 0.00199 
 2454731.949184 11.85794 0.00198 
 2454731.956232 11.87738 0.00198 
 2454731.960957 11.87343 0.00201 
 2454731.965660 11.86999 0.00202 
 2454731.970378 11.85861 0.00206 
 2454731.991444 11.86517 0.00195 
 2454731.993643 11.86482 0.00201 
 2454731.995831 11.87437 0.00199 
 2454731.998037 11.87289 0.00192 
 2454732.000225 11.86863 0.00195 
 2454732.002434 11.87079 0.00200 
 2454732.004629 11.87686 0.00200 
 2454732.006828 11.87492 0.00205 
 2454732.009028 11.87368 0.00215 
 2454732.011219 11.88030 0.00229 
 2454732.013426 11.87395 0.00254 
 2454732.911568 11.86539 0.00190 
 2454732.918624 11.88928 0.00176 
 2454732.925683 11.88394 0.00183 
 2454732.932736 11.87150 0.00192 
 2454732.939785 11.87608 0.00192 
 2454732.946843 11.86744 0.00190 
 2454732.953893 11.87563 0.00190 
 2454732.958605 11.87033 0.00191 
 2454732.963321 11.87023 0.00194 
 2454732.968038 11.87330 0.00194 
 2454732.989102 11.87377 0.00186 
 2454732.991292 11.87125 0.00185 
 2454732.993501 11.87608 0.00185 
 2454732.995701 11.86848 0.00192 
 2454732.997901 11.87163 0.00192 
 2454733.000096 11.87095 0.00192 
 2454733.002288 11.87858 0.00188 
 2454733.004495 11.87012 0.00191 
