KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2
K00889.01,CONFIRMED,Kepler-75 b,8.884922995,169.99168600000002,2455002.992,0.069,2.07004,16053.4,0.114,11.620610000000001,10.51,0.079,89.89,770.0,83.20999999999998,36.466,0.49700000000000005,0.204,0.0,0.0,5332.0,4.5,-0.08,0.843,0.821,61.291000000000004,474.02099999999996,388.2,1,153,0.000144,-0.000144,1.6359999999999999e-06,-1.6359999999999999e-06,47.4,-47.4,0.006999999999999999,-0.006999999999999999,0.087,-0.069,0.000396,-0.000266,0.649,-0.649,0.56,-0.57,106.0,-96.0,0.05,-0.036000000000000004,0.15,-0.15,0.045,-0.045,-0.04,0.061,16.69,-13.87,0.20683,-0.40258
K01009.01,FALSE POSITIVE,,5.09246539,357.53594,2455190.536,0.161,3.659,254.0,0.013999999999999999,0.8851,1.17,0.052000000000000005,89.14,844.0,119.7,10.67,0.551,0.165,0.0,0.0,5037.0,4.547,-0.2,0.7509999999999999,0.727,3.648,15.175,17.1,1,225,0.005,-0.005,4.39e-05,-4.39e-05,16.5,-16.5,0.19899999999999998,-0.19899999999999998,0.303,-0.161,0.000772,-0.000551,1.2,-1.2,0.12,-0.13,181.0,-181.0,0.07200000000000001,-0.054000000000000006,0.3,-0.3,0.079,-0.079,-0.055,0.095,48.69,-36.91,0.1008,-0.39457
K07621.01,FALSE POSITIVE,,275.07365,315.2486,2455148.249,0.595,3.37,228.9,0.013999999999999999,33.559940000000005,1.86,0.789,89.93,303.0,2.0,512.0,0.43700000000000006,0.243,0.0,0.0,5604.0,4.226,-0.12,1.187,0.8640000000000001,5.909,8.012,7.5,1,4,0.094,-0.094,0.039,-0.039,43.0,-43.0,5.5,-5.5,0.34,-0.395,0.000492,-0.002,253.0,-253.0,0.33,-0.36,84.0,-67.0,0.20800000000000002,-0.11199999999999999,0.15,-0.15,0.207,-0.23,-0.036000000000000004,0.073,0.92,-0.76,16.58298,-31.5318
K06252.01,FALSE POSITIVE,,8.460438928,133.7744903,2454966.774,1.061,4.73492,76412.9,0.478,0.73874,36.62,0.075,85.68,804.0,98.6,14.087,0.299,0.306,0.0,0.0,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999,452.526,3704.5029999999997,1797.4,1,164,6.27e-05,-6.27e-05,6.29e-07,-6.29e-07,32.8,-32.8,0.003,-0.003,0.017,-0.008,0.013999999999999999,-0.006999999999999999,0.004,-0.004,6.36,-2.14,160.0,-178.0,0.032,-0.128,0.3,-0.3,0.122,-0.040999999999999995,-0.07400000000000001,0.049,52.46,-21.18,0.00021,-0.00735
K00958.01,CANDIDATE,,21.76129812,166.540438,2454999.54,0.12300000000000001,1.2429999999999999,1300.7,0.032,102.86534,2.53,0.14,89.95,486.0,13.18,137.07,0.627,0.10800000000000001,0.0,0.0,4859.0,4.612,0.0,0.72,0.7809999999999999,19.204,96.205,60.0,1,62,0.000641,-0.000641,1.727e-05,-1.727e-05,26.8,-26.8,0.026000000000000002,-0.026000000000000002,0.28800000000000003,-0.12300000000000001,0.000807,-0.000734,7.3,-7.3,0.16,-0.1,97.0,-97.0,0.015,-0.045,0.15,-0.15,0.047,-0.028999999999999998,-0.049,0.034,3.0,-1.98,5.47239,-30.258129999999998
K00984.01,CANDIDATE,,4.28746668,262.06245,2455095.062,0.374,1.5693,790.1,0.026000000000000002,8.16471,2.29,0.05,88.93,942.0,186.31,19.94,0.517,0.191,0.0,0.0,5296.0,4.5760000000000005,0.12,0.815,0.9109999999999999,19.84,116.715,19.4,1,313,0.002,-0.002,1.524e-05,-1.524e-05,49.7,-49.7,0.079,-0.079,0.083,-0.374,0.001,-0.001,5.7,-5.7,0.22,-0.1,105.0,-105.0,0.015,-0.085,0.15,-0.15,0.08,-0.034,-0.064,0.036000000000000004,56.73,-28.39,4.69586,-1.63188
K04162.01,FALSE POSITIVE,,0.53936593,131.97457,2454964.975,0.988,5.434,145.0,0.016,0.06737,9.19,0.017,12.57,5016.0,149399.93,1.012,0.314,0.304,0.0,0.0,6341.0,3.301,-0.1,5.3020000000000005,2.05,4.8469999999999995,9.076,57.6,1,1239,0.003,-0.003,1.878e-06,-1.878e-06,80.3,-80.3,0.42,-0.42,0.046,-0.012,0.04,-0.003,0.099,-0.099,0.44,-3.94,195.0,-195.0,0.396,-0.066,0.35,-0.3,0.253,-2.276,-0.41100000000000003,0.11,35721.31,-106451.43,0.00658,-0.00461
K07622.01,FALSE POSITIVE,,36.2671673,155.0813,2454988.081,0.214,2.065,627.1,0.022000000000000002,34.69388,1.5,0.182,89.91,347.0,3.44,134.1,0.644,0.10099999999999999,0.0,0.0,4264.0,4.637,-0.2,0.62,0.607,3.016,7.472,10.0,1,39,0.006999999999999999,-0.006999999999999999,0.00030389999999999996,-0.00030389999999999996,78.3,-78.3,0.254,-0.254,0.243,-0.214,0.002,-0.001,50.7,-50.7,0.1,-0.15,128.0,-128.0,0.053,-0.021,0.3,-0.3,0.039,-0.062,-0.05,0.067,0.94,-0.97,13.11193,-21.13275
K00994.01,CANDIDATE,,4.298920099999999,132.86186999999998,2454965.8619999997,0.972,2.747,237.6,0.02,0.05666,2.12,0.049,75.22,1046.0,283.62,3.81,0.526,0.18600000000000003,0.0,0.0,5300.0,4.385,0.18,0.986,0.861,3.986,15.994000000000002,20.0,1,314,0.004,-0.004,2.01e-05,-2.01e-05,13.7,-13.7,0.131,-0.131,0.032,-0.757,0.002,-0.006,1.9,-1.9,0.27,-0.27,87.0,-71.0,0.132,-0.08800000000000001,0.15,-0.15,0.124,-0.124,-0.031,0.061,100.01,-78.23999999999998,3.20152,-0.06619999999999998
K00998.01,FALSE POSITIVE,,161.78832712,214.03900000000002,2455047.039,0.267,5.31,87750.0,0.273,17.58377,36.14,0.607,89.95,375.0,4.68,289.8,0.373,0.28300000000000003,0.0,0.0,6018.0,4.327,0.18,1.212,1.1420000000000001,341.666,806.993,704.5,1,9,0.000166,-0.000166,3.539e-05,-3.539e-05,154.0,-154.0,0.012,-0.012,0.03,-0.055,0.000726,-0.000196,12.6,-12.6,6.24,-3.63,72.0,-90.0,0.08,-0.12,0.15,-0.15,0.209,-0.122,-0.075,0.075,2.07,-1.12,0.76473,-0.48796000000000006
