KOI Name,Period,Duration,Depth,Time of Transit Epoch,r/R,Transit Number,Time (sec)
K00889.01,8.884801622969807,0.07700869975215376,0.9868373313244484,134.45215012467855,0.10871112024869686,164,1268.5021357536316
K01009.01,5.092413613166049,0.12686455201709207,0.9998328314684474,352.4404171410249,0.012198171187221864,244,587.3361282348633
K07621.01,636.8874526172806,0.29118086286671147,0.9991730129722881,131.62418228089012,0.026338903938033197,3,880.5231635570526
K06252.01,8.460278921066557,0.12934839973263698,0.9422657062684925,133.77808910365178,0.22979147141754738,173,1326.2420513629913
K00958.01,21.76075146568258,0.05456158126593922,0.9990563091264191,144.78770092707526,0.02916890810665435,67,884.134968996048
K00984.01,4.287434183052251,0.09629828209558268,0.999642667672739,133.43708983309514,0.017929337333592834,340,956.6601655483246
K04162.01,1.0786844915529366,0.11671895559145914,0.9999704449710958,132.5421238517945,0.0051210040238870574,1353,838.6484949588776
K07622.01,12.088861950438892,0.08696872150767769,0.9997077570084403,142.99846418151455,0.016446418278262872,120,845.4413793087006
K00994.01,4.2988642141408,0.07960092072641994,0.9998312107450559,132.86254867513736,0.012300385361801103,340,830.0981452465057
K00998.01,161.7854997393479,0.18818201701359977,0.9320100282223632,214.03932962248246,0.25702017992153414,9,1030.3946130275726
K00992.01,9.931330987203552,0.20255351825801451,0.9998034879188787,136.4929377971358,0.013407102633119505,147,814.8885815143585
K00992.02,4.578259369085705,0.12589087561492945,0.9999282556210748,132.29997908096604,0.008361188884466705,319,742.78617811203
K00982.01,1.5926128715107701,0.1357955823538124,0.9997796217739404,132.33079741062474,0.01429346323543713,916,836.0236804485321
K03924.01,1.592237470906394,0.11213990909217146,0.9375350849427713,907.919700332877,0.24349327371495189,429,177.8084728717804
K07623.01,34.21229487985933,0.024886387951322083,0.9994020998237884,141.29937533636854,0.0208186323383657,36,313.6560287475586
K00362.01,14.022231701800925,0.26023377968425676,0.9939300735876142,135.51780874924975,0.07442980949484483,104,1264.6389570236206
K04924.01,3.0033172549522,0.07421538553781289,0.9997408928564234,1276.3031540364088,0.015116413306970281,65,21.75499987602234
K03658.01,1.1261992294490735,0.05489385929925695,0.9804251887986729,353.1668265746304,0.1323621512678786,1100,959.0746028423309
K04359.01,0.6289886771662908,0.04429220964041086,0.9999881365266533,131.56082609762493,0.0032534817377572293,2321,852.5810570716858
K03145.01,4.536954431827149,0.07089731461965249,0.9996553127589153,173.01438207248384,0.017246938644135745,313,807.6762452125549
K03145.02,4.536954431827149,0.06390276732304186,0.9996408061370051,173.01715372495912,0.01779966555306999,313,804.5087485313416
K00993.01,21.853344124216342,0.11699756815161996,0.9997428495763941,144.31898683424814,0.01506076002314361,67,842.3099977970123
K00993.02,13.060219943551253,0.10028528291466271,0.9998438805923219,137.65367473791133,0.011955509856386822,112,840.597588300705
K00993.03,10.625634615712908,0.048726033471480086,0.9999121233381714,136.44649039029238,0.008797186227824036,137,790.3432877063751
K04053.01,1.4197327130860002,0.06210375889520339,0.9999600625731024,132.92484879443296,0.005982097887999967,1027,867.4329106807709
