KOI Name,Period,Time (sec)
K00889.01,8.89,873.4869351387024
K01002.01,1999.99,872.7213487625122
K02534.01,0.46,872.9553685188293
K00440.01,7.95,872.9694542884827
K01022.01,0.38,858.5443551540375
K01113.01,0.49,873.0556356906891
K00273.01,1.51,873.0334231853485
K01115.01,0.16,872.7681481838226
K02055.01,0.62,689.9925711154938
K01108.03,0.5,843.2184369564056
K01102.01,0.38,873.1076307296753
K01102.03,0.38,745.1995980739594
K02413.01,0.7100000000000001,873.7799625396729
K03057.02,0.51,756.5382170677185
K01106.01,0.63,873.4298188686371
K01089.01,0.9400000000000001,689.9440727233887
K01830.01,1.8900000000000001,873.2043936252594
K01196.02,0.04,791.2115316390991
K01202.01,0.55,873.5966963768005
K00624.02,0.35000000000000003,844.9783589839935
K00624.03,0.59,680.7733979225159
K01221.01,0.44,873.7060565948486
K01221.02,0.53,845.9851033687592
K02279.01,0.38,689.8099281787872
K00302.01,0.7100000000000001,689.8781499862671
K00387.01,1.3900000000000001,872.7708678245544
K02261.01,0.34,872.9981544017792
K04103.01,0.01,873.5167381763458
K01176.01,1999.99,859.0189354419708
K00149.01,1.04,873.1229178905487
K01199.01,0.32,690.1041667461395
K04084.01,0.38,873.242714881897
K01215.02,0.6,820.6476907730103
K01203.03,0.31,652.0429079532623
K00494.01,0.33,690.0934891700745
K01760.02,0.48000000000000004,641.1208164691925
K02013.01,0.43,873.1344785690308
K01339.01,0.59,873.0243804454803
K02210.01,0.01,873.4303393363953
K00281.01,0.85,873.2343013286591
K03678.01,1.49,872.6231253147125
K01335.01,1.28,873.2500953674316
K01860.01,0.79,768.685733795166
K01860.02,0.37,712.1939055919647
K02728.01,0.86,690.1555736064911
K00813.01,3.9,690.2584385871887
K01615.01,1.34,687.9255330562592
K02652.01,1999.99,872.3694109916687
K00244.02,1.56,845.6156320571899
K02166.01,0.38,689.9443197250366
K01338.01,0.39,873.3045375347137
K00626.01,4.86,689.9017317295074
K00223.02,0.34,811.7360489368439
K00627.01,1.55,873.4524762630463
K00628.01,1.61,873.0579736232758
K03437.01,0.05,873.1439328193665
K00817.02,0.37,654.1319644451141
K01996.01,0.48000000000000004,768.5751905441284
K00497.01,0.01,689.9201781749725
K00632.01,0.7100000000000001,872.8898208141327
K00232.01,12.47,873.2666640281677
K00232.02,0.33,826.6030366420746
K00232.03,0.33,752.2700068950653
K00232.04,0.33,731.5000443458557
K00500.04,0.34,574.0275106430054
K01973.01,0.47000000000000003,873.293429851532
K01665.01,0.46,689.7943053245544
K02951.01,0.41000000000000003,668.7324478626251
K02406.01,0.19,872.9209914207458
K04127.01,0.33,768.1638517379761
K00638.02,0.52,667.7320439815521
K00640.01,0.5,873.0202660560608
K02698.01,0.32,873.280205488205
K02708.01,0.6900000000000001,858.1862986087799
K01603.01,0.43,872.9150993824005
K01564.01,10.69,873.0346376895905
K02719.01,0.36000000000000004,872.7221796512604
K03468.01,0.51,872.9770095348358
K01589.04,0.44,743.3148336410522
K00503.01,8.22,668.78777551651
K00248.02,10.91,827.7564520835876
K04327.01,0.47000000000000003,689.6045544147491
K00645.01,0.5800000000000001,689.6482651233673
K00834.02,0.49,834.4999413490295
K01567.02,0.03,724.3229126930237
K01567.03,1999.99,700.2121078968048
K00409.01,0.53,873.0200119018555
