\STAR_ID                              = "Proxima Cen"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "14h29m42.95s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-62d40m46.1s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "1813"
\TIME_REFERENCE_FRAME                 = "JD"
\MINIMUM_DATE                         = "2457402.84676"
\MAXIMUM_DATE                         = "2457502.91435"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Anglada-Escudé et al. 2016"
\BIBCODES                             = "2016Natur.536..437A"
\TELESCOPE                            = "Astrograph for the South Hemisphere II telescope"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "H-alpha"
\OBSERVATORY_SITE                     = "San Pedro de Atacama Celestial Explorations Observatory (SPACEOBS)"
\COLUMN_JD                            = "Julian Day"
\COMMENT                              = "H-alpha is centered on 0.656 micron. Uncertainties of individual points are ~6 mmag."
|               JD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY|      RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           double|             double|                double|             double|           double|
|             days|                mag|                   mag|                   |                 |
  2457404.86434                                                     1.008695306                      
  2457404.86819                                                     1.009903785                      
  2457404.8723                                                    1.0194360797                      
  2457404.87621                                                     1.017091441                      
  2457404.88007                                                     1.009159934                      
  2457406.79092                                                     1.037623980                      
  2457406.79484                                                     1.043181796                      
  2457406.79871                                                     1.045008925                      
  2457406.80256                                                     1.082430447                      
  2457406.80665                                                     1.101336417                      
  2457406.81054                                                     1.094258679                      
  2457406.81441                                                     1.081433951                      
  2457406.81837                                                     1.093049928                      
  2457406.8222                                                    1.0992083024                      
  2457406.82615                                                     1.106114282                      
  2457406.82997                                                     1.116863247                      
  2457406.83382                                                     1.109379151                      
  2457406.83769                                                     1.107949587                      
  2457406.84161                                                     1.109481333                      
  2457406.84558                                                     1.136475296                      
  2457406.84962                                                     1.125744930                      
  2457406.85347                                                     1.101336417                      
  2457406.85741                                                     1.086325564                      
  2457406.86127                                                     1.078747991                      
  2457406.86523                                                     1.086625769                      
  2457406.86915                                                     1.071914140                      
  2457406.87298                                                     1.062086772                      
  2457407.80469                                                     1.019623884                      
  2457407.80859                                                     1.020093546                      
  2457407.81241                                                     1.015687248                      
  2457407.81637                                                     1.026691579                      
  2457407.82022                                                     1.006375371                      
  2457407.82413                                                     1.018779036                      
  2457407.82798                                                     1.026880720                      
  2457407.83183                                                     1.016529531                      
  2457407.83573                                                     1.014658738                      
  2457407.83969                                                     1.019905655                      
  2457407.84368                                                     1.026597021                      
  2457407.84756                                                     1.015313124                      
  2457407.85241                                                     1.015126113                      
  2457407.85627                                                     1.019060574                      
  2457407.86025                                                     1.011672628                      
  2457407.86411                                                     1.017653662                      
  2457407.86797                                                     1.018216194                      
  2457407.87181                                                     1.025463011                      
  2457408.79127                                                     1.022727655                      
  2457408.79525                                                     1.017653662                      
  2457408.7991                                                    1.0188728741                      
  2457408.81536                                                     1.005078539                      
  2457408.81935                                                     0.997332565                      
  2457408.82288                                                     1.009903785                      
  2457408.82668                                                     1.014845662                      
  2457408.83057                                                     1.012045411                      
  2457408.8344                                                    1.0035060612                      
  2457408.84191                                                     1.000737098                      
  2457408.84621                                                     1.008788214                      
  2457408.85358                                                     1.010648184                      
  2457408.85764                                                     1.015406642                      
  2457408.86148                                                     1.184895363                      
  2457408.86541                                                     1.149635060                      
  2457408.87075                                                     1.103265404                      
  2457409.79127                                                     1.009903785                      
  2457409.79511                                                     1.000737098                      
  2457409.79901                                                     1.005171114                      
  2457409.80674                                                     1.019529977                      
  2457409.81063                                                     1.067185706                      
  2457409.8147                                                    1.0686610973                      
  2457409.8186                                                    1.0615977759                      
  2457409.82245                                                     1.054581139                      
  2457409.82638                                                     1.063359217                      
  2457409.83025                                                     1.051477539                      
  2457409.83412                                                     1.057012200                      
  2457409.8381                                                    1.0507030670                      
  2457409.84192                                                     1.047417920                      
  2457409.84585                                                     1.041741582                      
  2457409.8498                                                    1.0446240013                      
  2457409.85679                                                     1.048189970                      
  2457409.86036                                                     1.062184598                      
  2457409.86401                                                     1.054192689                      
  2457409.86855                                                     1.050703067                      
  2457409.8734                                                    1.0427015040                      
  2457410.79114                                                     1.011486288                      
  2457410.79505                                                     1.019905655                      
  2457410.79895                                                     1.023481507                      
  2457410.80279                                                     1.008509514                      
  2457410.80665                                                     1.009345845                      
  2457410.81062                                                     1.021127565                      
  2457410.81465                                                     1.021503831                      
  2457410.81861                                                     1.018403773                      
  2457410.8227                                                    1.0223509385                      
  2457410.82655                                                     1.019154438                      
  2457410.83052                                                     1.013164583                      
  2457410.83435                                                     1.016623161                      
  2457410.83823                                                     1.012511582                      
  2457410.8423                                                    1.0199995965                      
  2457410.84623                                                     1.018122417                      
  2457410.85014                                                     1.040111743                      
  2457410.85404                                                     1.022539279                      
  2457410.85791                                                     1.011672628                      
  2457410.86176                                                     1.033617848                      
  2457410.86558                                                     1.034284461                      
  2457411.79121                                                     1.006931668                      
  2457411.79513                                                     0.996689768                      
  2457411.79897                                                     1.011672628                      
  2457411.8028                                                    1.0282056831                      
  2457411.80663                                                     1.021503831                      
  2457411.81063                                                     1.018591388                      
  2457411.81453                                                     1.027259106                      
  2457411.81845                                                     1.010275916                      
  2457411.82235                                                     1.016623161                      
  2457411.82631                                                     1.010648184                      
  2457411.83015                                                     1.006282685                      
  2457411.83785                                                     1.025463011                      
  2457411.84176                                                     1.021315681                      
  2457411.8456                                                    1.0175599375                      
  2457411.85915                                                     1.002766922                      
  2457411.863                                                   1.00064493170                      
  2457411.86685                                                     1.014284993                      
  2457411.87078                                                     1.012698111                      
  2457412.79121                                                     1.003413639                      
  2457412.79506                                                     1.026124365                      
  2457412.80313                                                     1.034951504                      
  2457412.80704                                                     1.025463011                      
  2457412.81095                                                     1.011579454                      
  2457412.81489                                                     1.020375447                      
  2457412.81892                                                     1.015313124                      
  2457412.82278                                                     1.013631270                      
  2457412.8267                                                    1.0021206236                      
  2457412.83062                                                     1.013724633                      
  2457412.83447                                                     1.010927475                      
  2457412.83832                                                     1.021409751                      
  2457412.8423                                                    1.0091599347                      
  2457412.8462                                                    1.0139113857                      
  2457412.85015                                                     1.022350938                      
  2457412.85404                                                     1.013537915                      
  2457412.85787                                                     1.007395484                      
  2457412.86187                                                     1.008974057                      
  2457412.86578                                                     1.009717771                      
  2457413.79111                                                     1.009810773                      
  2457413.79497                                                     1.022256780                      
  2457413.7989                                                    1.0120454110                      
  2457413.80285                                                     1.005171114                      
  2457413.8067                                                    1.0128846743                      
  2457413.81063                                                     1.018122417                      
  2457413.8146                                                    1.0186852081                      
  2457413.8185                                                    1.0017514967                      
  2457413.82235                                                     1.018966720                      
  2457413.82621                                                     1.018122417                      
  2457413.83012                                                     1.019060574                      
  2457413.83454                                                     1.007024414                      
  2457413.83855                                                     1.011672628                      
  2457413.84242                                                     1.003228820                      
  2457413.84631                                                     1.013537915                      
  2457413.85021                                                     1.013164583                      
  2457413.85418                                                     1.011579454                      
  2457413.85804                                                     0.997057030                      
  2457413.86196                                                     0.992293165                      
  2457413.86587                                                     0.995313741                      
  2457414.79122                                                     1.012884674                      
  2457414.79507                                                     1.029911719                      
  2457414.7995                                                    1.0191544380                      
  2457414.8036                                                    1.0153131241                      
  2457414.80747                                                     1.002397558                      
  2457414.81148                                                     1.014191578                      
  2457414.81537                                                     1.015687248                      
  2457414.81922                                                     1.021880236                      
  2457414.82307                                                     1.015687248                      
  2457414.82692                                                     1.014284993                      
