\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0043063'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 12.873  0.030
 7487.11495 12.877  0.030
 7488.04462 12.887  0.033
 7488.09038 12.865  0.031
 7489.04510 12.898  0.029
 7489.10259 12.867  0.032
 7490.05190 12.888  0.029
 7490.10377 12.881  0.031
 7491.05685 12.823  0.033
 7491.10734 12.884  0.029
 7492.05271 12.817  0.030
 7492.10341 12.872  0.033
 7493.04391 12.895  0.031
 7493.09400 12.875  0.030
 7494.03789 12.889  0.033
 7494.08453 12.882  0.031
 7495.04279 12.880  0.032
 7495.09225 12.881  0.034
 7496.03225 12.789  0.027
 7496.09040 12.871  0.029
 7497.04919 12.869  0.032
 7497.09512 12.878  0.037
 7498.01350 12.883  0.032
 7498.05915 12.879  0.034
 7499.04435 12.887  0.026
 7499.08873 12.866  0.036
 7500.02532 12.865  0.038
 7500.07202 12.874  0.034
 7501.00590 12.901  0.035
 7501.05264 12.887  0.026
 7502.01901 12.874  0.019
 7502.06336 12.899  0.023
 7503.01180 12.859  0.033
 7503.05801 12.876  0.034
 7507.01340 12.844  0.037
 7507.06425 12.866  0.034
 7508.02649 12.866  0.032
 7508.07036 12.876  0.037
 7509.01677 12.881  0.030
 7509.06933 12.878  0.030
 7509.98799 12.881  0.041
 7510.09449 12.873  0.036
 7510.99913 12.879  0.037
 7511.04752 12.867  0.037
 7512.00318 12.877  0.037
 7512.05516 12.888  0.031
 7512.98435 12.867  0.039
 7513.03192 12.876  0.034
 7514.05536 12.888  0.027
 7514.97722 12.889  0.033
 7515.02352 12.882  0.028
 7515.97345 12.875  0.028
 7516.01958 12.877  0.032
 7516.98615 12.869  0.030
 7517.02928 12.886  0.033
 7518.99920 12.849  0.039
 7519.04785 12.863  0.024
 7520.00422 12.886  0.040
 7520.04975 12.874  0.034
 7521.00544 12.874  0.033
 7521.04886 12.890  0.027
 7523.02145 12.879  0.036
 7523.08499 12.889  0.037
 7523.98951 12.888  0.030
 7524.05395 12.902  0.031
 7524.98088 12.872  0.034
 7525.02608 12.866  0.035
 7525.97329 12.868  0.033
 7526.01817 12.875  0.036
 7526.97789 12.860  0.030
 7527.02906 12.896  0.040
 7527.95341 12.864  0.033
 7527.99707 12.861  0.033
 7528.95512 12.874  0.036
 7529.00357 12.872  0.032
 7529.94448 12.883  0.034
 7530.00102 12.865  0.029
 7530.98097 12.852  0.039
 7531.02832 12.853  0.035
 7531.96164 12.864  0.027
 7532.01243 12.868  0.031
 7535.01054 12.857  0.029
 7535.06379 12.844  0.028
 7535.95610 12.855  0.027
 7536.03505 12.873  0.025
 7537.95213 12.863  0.033
 7537.99682 12.861  0.028
 7538.97109 12.857  0.034
 7539.01476 12.879  0.030
 7539.92137 12.870  0.029
 7539.96979 12.868  0.045
 7540.94595 12.852  0.036
 7540.99538 12.858  0.030
 7541.92300 12.856  0.029
 7541.96951 12.864  0.028
 7542.02077 12.864  0.033
 7542.89753 12.859  0.036
 7542.94514 12.848  0.022
 7542.99618 12.868  0.034
 7543.93024 12.865  0.033
 7543.97976 12.880  0.033
 7544.02670 12.849  0.026
 7544.89743 12.877  0.030
 7544.94783 12.864  0.027
 7544.99229 12.908  0.039
 7545.91241 12.844  0.032
 7545.96099 12.869  0.031
 7546.00555 12.887  0.030
 7546.88315 12.880  0.032
 7546.93049 12.874  0.034
 7546.97445 12.873  0.029
 7547.92367 12.862  0.029
 7547.96733 12.878  0.030
 7548.01441 12.882  0.029
 7548.92854 12.855  0.029
 7548.97334 12.880  0.030
 7549.03233 12.865  0.031
 7549.91761 12.882  0.032
 7549.97206 12.869  0.033
 7550.01744 12.905  0.032
 7550.90879 12.875  0.032
 7550.95304 12.860  0.030
 7551.00329 12.864  0.031
 7554.91909 12.831  0.034
 7554.96542 12.846  0.016
 7555.01010 12.878  0.032
 7555.88051 12.851  0.031
 7555.92447 12.870  0.025
 7555.97284 12.877  0.029
 7558.89322 12.863  0.032
 7558.93890 12.872  0.031
 7558.98359 12.863  0.029
 7561.88825 12.869  0.028
 7561.93324 12.874  0.022
 7561.98245 12.857  0.031
 7562.84046 12.861  0.027
 7562.88893 12.859  0.031
 7562.93556 12.869  0.028
 7563.87604 12.862  0.034
 7563.92058 12.870  0.027
 7563.96431 12.863  0.029
 7564.87199 12.848  0.026
 7564.91742 12.869  0.028
 7564.96746 12.871  0.030
 7565.98442 12.861  0.032
 7567.91503 12.858  0.032
 7568.87641 12.817  0.021
 7573.81477 12.871  0.032
 7573.86632 12.868  0.028
 7573.91384 12.900  0.028
 7574.82639 12.877  0.029
 7574.87424 12.866  0.030
 7574.92093 12.862  0.024
 7575.80421 12.865  0.029
 7575.85813 12.863  0.025
 7575.90717 12.883  0.026
 7576.82917 12.854  0.031
 7576.87581 12.866  0.034
 7576.92400 12.865  0.031
 7577.80493 12.885  0.033
 7577.85231 12.866  0.027
 7577.89861 12.862  0.025
