\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0026530'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 11.864  0.028
 7487.11495 11.828  0.029
 7488.04462 11.832  0.032
 7488.09038 11.831  0.030
 7489.04510 11.815  0.027
 7489.10259 11.843  0.031
 7490.05190 11.815  0.027
 7490.10377 11.806  0.029
 7491.05685 11.810  0.031
 7491.10734 11.818  0.027
 7492.05271 11.842  0.028
 7492.10341 11.816  0.031
 7493.04391 11.835  0.029
 7493.09400 11.827  0.028
 7494.03789 11.825  0.031
 7494.08453 11.853  0.030
 7495.04279 11.814  0.030
 7495.09225 11.828  0.032
 7496.03225 11.794  0.024
 7496.09040 11.808  0.027
 7497.04919 11.816  0.030
 7497.09512 11.822  0.035
 7498.01350 11.860  0.030
 7498.05915 11.857  0.032
 7499.04435 11.818  0.024
 7499.08873 11.819  0.034
 7500.02532 11.828  0.037
 7500.07202 11.813  0.033
 7501.00590 11.808  0.033
 7501.05264 12.567  0.025
 7502.01901 11.828  0.017
 7502.06336 11.827  0.021
 7503.01180 11.839  0.031
 7503.05801 11.883  0.032
 7507.01340 11.846  0.036
 7507.06425 11.866  0.032
 7508.02649 11.821  0.030
 7508.07036 11.864  0.035
 7509.01677 11.826  0.028
 7509.06933 11.827  0.028
 7509.98799 11.829  0.039
 7510.09449 11.866  0.034
 7510.99913 12.602  0.036
 7511.04752 11.862  0.035
 7512.00318 11.827  0.035
 7512.05516 11.862  0.029
 7512.98435 11.823  0.037
 7513.03192 11.825  0.032
 7514.05536 11.868  0.025
 7514.97722 11.858  0.031
 7515.02352 11.819  0.026
 7515.97345 11.872  0.026
 7516.01958 11.829  0.030
 7516.98615 11.815  0.028
 7517.02928 11.834  0.031
 7518.99920 11.802  0.037
 7519.04785 11.814  0.022
 7520.00422 11.808  0.038
 7520.04975 11.866  0.032
 7521.00544 11.859  0.031
 7521.04886 11.861  0.025
 7523.02145 11.863  0.034
 7523.08499 11.871  0.035
 7523.98951 11.788  0.028
 7524.05395 11.860  0.029
 7524.98088 11.821  0.032
 7525.02608 11.857  0.033
 7525.97329 11.848  0.031
 7526.01817 11.850  0.034
 7526.97789 11.798  0.028
 7527.02906 11.816  0.038
 7527.95341 11.802  0.031
 7527.99707 11.804  0.031
 7528.95512 11.814  0.034
 7529.00357 11.799  0.030
 7529.94448 11.863  0.032
 7530.00102 11.847  0.027
 7530.98097 11.871  0.037
 7531.02832 11.849  0.033
 7531.96164 11.850  0.025
 7532.01243 11.790  0.029
 7535.01054 11.846  0.027
 7535.06379 11.855  0.026
 7535.95610 11.847  0.025
 7536.03505 11.791  0.023
 7537.95213 11.801  0.031
 7537.99682 11.827  0.026
 7538.97109 11.799  0.032
 7539.01476 11.798  0.028
 7539.92137 11.854  0.027
 7539.96979 11.822  0.043
 7540.94595 11.798  0.034
 7540.99538 11.853  0.028
 7541.92300 11.788  0.027
 7541.96951 11.848  0.026
 7542.02077 11.815  0.031
 7542.89753 11.804  0.034
 7542.94514 11.834  0.020
 7542.99618 11.846  0.032
 7543.93024 11.804  0.031
 7543.97976 11.806  0.031
 7544.02670 11.783  0.024
 7544.89743 11.805  0.028
 7544.94783 11.805  0.025
 7544.99229 11.822  0.037
 7545.91241 11.774  0.029
 7545.96099 11.777  0.029
 7546.00555 11.805  0.028
 7546.88315 11.855  0.030
 7546.93049 11.796  0.032
 7546.97445 11.804  0.027
 7547.92367 11.794  0.027
 7547.96733 11.802  0.028
 7548.01441 11.811  0.028
 7548.92854 11.789  0.027
 7548.97334 11.807  0.028
 7549.03233 11.853  0.029
 7549.91761 11.817  0.031
 7549.97206 11.845  0.031
 7550.01744 11.806  0.030
 7550.90879 11.848  0.030
 7550.95304 11.806  0.028
 7551.00329 11.808  0.029
 7554.91909 11.800  0.033
 7554.96542 11.773  0.014
 7555.01010 11.847  0.030
 7555.88051 11.801  0.029
 7555.92447 11.813  0.023
 7555.97284 11.819  0.027
 7558.89322 11.813  0.030
 7558.93890 11.798  0.029
 7558.98359 11.804  0.027
 7561.88825 11.848  0.026
 7561.93324 11.810  0.020
 7561.98245 11.861  0.029
 7562.84046 11.789  0.025
 7562.88893 11.844  0.029
 7562.93556 11.798  0.026
 7563.87604 11.853  0.032
 7563.92058 11.852  0.025
 7563.96431 11.811  0.027
 7564.87199 11.808  0.025
 7564.91742 11.807  0.026
 7564.96746 11.851  0.028
 7565.98442 11.806  0.030
 7567.91503 11.828  0.031
 7568.87641 11.794  0.019
 7573.81477 11.814  0.031
 7573.86632 11.796  0.026
 7573.91384 11.835  0.026
 7574.82639 11.799  0.027
 7574.87424 11.859  0.028
 7574.92093 11.845  0.022
 7575.80421 11.802  0.028
 7575.85813 11.816  0.024
 7575.90717 11.806  0.025
 7576.82917 11.842  0.029
 7576.87581 11.804  0.032
 7576.92400 11.805  0.029
 7577.80493 11.801  0.031
 7577.85231 11.860  0.025
 7577.89861 11.797  0.023
