\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0074227'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 14.925  0.042
 7487.11495 14.900  0.042
 7488.04462 14.926  0.045
 7488.09038 14.916  0.043
 7489.04510 14.901  0.041
 7489.10259 14.885  0.043
 7490.05190 14.899  0.040
 7490.10377 14.910  0.043
 7491.05685 15.040  0.059
 7491.10734 14.908  0.040
 7492.05271 15.113  0.060
 7492.10341 14.994  0.052
 7493.04391 14.925  0.048
 7493.09400 14.942  0.046
 7494.03789 14.892  0.045
 7494.08453 14.897  0.043
 7495.04279 14.938  0.044
 7495.09225 14.907  0.046
 7496.03225 15.102  0.063
 7496.09040 15.040  0.053
 7497.04919 15.066  0.053
 7497.09512 15.075  0.058
 7498.01350 14.933  0.047
 7498.05915 14.935  0.048
 7499.04435 14.951  0.044
 7499.08873 14.933  0.053
 7500.02532 14.899  0.050
 7500.07202 14.916  0.046
 7501.00590 14.940  0.050
 7501.05264 14.953  0.041
 7502.01901 14.953  0.036
 7502.06336 14.965  0.041
 7503.01180 14.957  0.050
 7503.05801 14.936  0.048
 7507.01340 14.913  0.050
 7507.06425 14.928  0.047
 7508.02649 14.900  0.044
 7508.07036 14.937  0.052
 7509.01677 14.931  0.042
 7509.06933 14.880  0.041
 7509.98799 14.967  0.057
 7510.09449 14.921  0.048
 7510.99913 14.947  0.053
 7511.04752 14.933  0.053
 7512.00318 14.909  0.049
 7512.05516 14.932  0.045
 7512.98435 14.943  0.053
 7513.03192 14.910  0.046
 7514.05536 14.917  0.039
 7514.97722 14.921  0.045
 7515.02352 14.915  0.040
 7515.97345 14.927  0.043
 7516.01958 14.936  0.047
 7516.98615 14.938  0.047
 7517.02928 14.917  0.047
 7518.99920 15.089  0.067
 7519.04785 15.052  0.050
 7520.00422 14.951  0.057
 7520.04975 14.908  0.048
 7521.00544 14.917  0.045
 7521.04886 14.930  0.041
 7523.02145 14.906  0.049
 7523.08499 14.924  0.051
 7523.98951 14.913  0.046
 7524.05395 14.934  0.045
 7524.98088 14.945  0.051
 7525.02608 15.056  0.057
 7525.97329 14.930  0.048
 7526.01817 14.907  0.050
 7526.97789 14.883  0.043
 7527.02906 14.951  0.059
 7527.95341 14.940  0.048
 7527.99707 14.964  0.051
 7528.95512 14.903  0.050
 7529.00357 14.886  0.045
 7529.94448 14.930  0.049
 7530.00102 14.909  0.044
 7530.98097 14.915  0.052
 7531.02832 14.885  0.049
 7531.96164 14.898  0.041
 7532.01243 14.887  0.044
 7535.01054 14.915  0.044
 7535.06379 14.925  0.043
 7535.95610 14.902  0.041
 7536.03505 14.899  0.038
 7537.95213 14.955  0.050
 7537.99682 14.958  0.046
 7538.97109 14.901  0.046
 7539.01476 14.915  0.042
 7539.92137 14.916  0.043
 7539.96979 15.051  0.065
 7540.94595 14.929  0.049
 7540.99538 14.952  0.044
 7541.92300 14.903  0.041
 7541.96951 14.914  0.041
 7542.02077 14.928  0.047
 7542.89753 14.961  0.053
 7542.94514 14.934  0.039
 7542.99618 14.922  0.047
 7543.93024 14.957  0.050
 7543.97976 14.946  0.050
 7544.02670 15.048  0.050
 7544.89743 14.918  0.042
 7544.94783 14.912  0.039
 7544.99229 14.928  0.055
 7545.91241 15.084  0.061
 7545.96099 14.918  0.047
 7546.00555 14.916  0.043
 7546.88315 14.927  0.046
 7546.93049 14.909  0.048
 7546.97445 14.897  0.042
 7547.92367 14.909  0.041
 7547.96733 14.926  0.042
 7548.01441 14.902  0.041
 7548.92854 14.884  0.041
 7548.97334 14.908  0.042
 7549.03233 14.914  0.046
 7549.91761 14.905  0.044
 7549.97206 14.920  0.046
 7550.01744 14.934  0.044
 7550.90879 14.914  0.046
 7550.95304 14.916  0.043
 7551.00329 14.895  0.042
 7554.91909 14.978  0.053
 7554.96542 14.929  0.032
 7555.01010 14.921  0.046
 7555.88051 14.908  0.043
 7555.92447 14.898  0.037
 7555.97284 14.890  0.042
 7558.89322 14.894  0.044
 7558.93890 14.893  0.043
 7558.98359 14.901  0.042
 7561.88825 14.903  0.041
 7561.93324 14.906  0.034
 7561.98245 14.920  0.045
 7562.84046 14.944  0.044
 7562.88893 14.947  0.047
 7562.93556 14.904  0.040
 7563.87604 14.915  0.047
 7563.92058 14.925  0.040
 7563.96431 14.935  0.044
 7564.87199 14.888  0.038
 7564.91742 14.914  0.040
 7564.96746 14.918  0.043
 7565.98442 14.946  0.046
 7567.91503 14.969  0.051
 7568.87641 15.022  0.044
 7573.81477 14.913  0.044
 7573.86632 14.891  0.040
 7573.91384 14.924  0.040
 7574.82639 14.976  0.047
 7574.87424 14.913  0.044
 7574.92093 14.922  0.039
 7575.80421 14.899  0.041
 7575.85813 14.877  0.036
 7575.90717 14.888  0.038
 7576.82917 14.933  0.044
 7576.87581 14.918  0.047
 7576.92400 14.922  0.044
 7577.80493 14.964  0.050
 7577.85231 14.930  0.041
 7577.89861 14.945  0.042
