\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0060352'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 13.226  0.030
 7487.11495 13.211  0.031
 7488.04462 13.229  0.034
 7488.09038 13.212  0.032
 7489.04510 13.224  0.029
 7489.10259 13.206  0.033
 7490.05190 13.237  0.029
 7490.10377 13.224  0.031
 7491.05685 13.208  0.035
 7491.10734 13.215  0.029
 7492.05271 13.244  0.032
 7492.10341 13.250  0.035
 7493.04391 13.191  0.032
 7493.09400 13.229  0.031
 7494.03789 13.221  0.033
 7494.08453 13.216  0.032
 7495.04279 13.218  0.032
 7495.09225 13.219  0.034
 7496.03225 13.231  0.030
 7496.09040 13.207  0.031
 7497.04919 13.232  0.033
 7497.09512 13.228  0.038
 7498.01350 13.239  0.033
 7498.05915 13.222  0.035
 7499.04435 13.229  0.028
 7499.08873 13.226  0.037
 7500.02532 13.216  0.039
 7500.07202 13.207  0.035
 7501.00590 13.229  0.036
 7501.05264 13.217  0.027
 7502.01901 13.216  0.020
 7502.06336 13.213  0.024
 7503.01180 13.217  0.034
 7503.05801 13.225  0.035
 7507.01340 13.216  0.038
 7507.06425 13.220  0.035
 7508.02649 13.210  0.032
 7508.07036 13.215  0.038
 7509.01677 13.217  0.030
 7509.06933 13.225  0.030
 7509.98799 13.232  0.042
 7510.09449 13.218  0.036
 7510.99913 13.240  0.038
 7511.04752 13.222  0.038
 7512.00318 13.223  0.037
 7512.05516 13.208  0.032
 7512.98435 13.232  0.040
 7513.03192 13.217  0.034
 7514.05536 13.216  0.027
 7514.97722 13.218  0.033
 7515.02352 13.214  0.028
 7515.97345 13.226  0.029
 7516.01958 13.207  0.033
 7516.98615 13.230  0.031
 7517.02928 13.205  0.034
 7518.99920 13.221  0.041
 7519.04785 13.221  0.026
 7520.00422 13.233  0.041
 7520.04975 13.212  0.035
 7521.00544 13.222  0.034
 7521.04886 13.229  0.028
 7523.02145 13.223  0.037
 7523.08499 13.225  0.038
 7523.98951 13.245  0.031
 7524.05395 13.238  0.032
 7524.98088 13.227  0.035
 7525.02608 13.251  0.036
 7525.97329 13.211  0.034
 7526.01817 13.203  0.037
 7526.97789 13.210  0.031
 7527.02906 13.225  0.041
 7527.95341 13.205  0.034
 7527.99707 13.188  0.034
 7528.95512 13.209  0.037
 7529.00357 13.198  0.033
 7529.94448 13.209  0.035
 7530.00102 13.222  0.030
 7530.98097 13.211  0.040
 7531.02832 13.211  0.036
 7531.96164 13.194  0.028
 7532.01243 13.208  0.032
 7535.01054 13.203  0.030
 7535.06379 13.219  0.029
 7535.95610 13.219  0.028
 7536.03505 13.193  0.026
 7537.95213 13.211  0.034
 7537.99682 13.189  0.029
 7538.97109 13.207  0.034
 7539.01476 13.197  0.030
 7539.92137 13.210  0.030
 7539.96979 13.199  0.046
 7540.94595 13.223  0.037
 7540.99538 13.215  0.031
 7541.92300 13.219  0.029
 7541.96951 13.203  0.029
 7542.02077 13.225  0.034
 7542.89753 13.217  0.037
 7542.94514 13.193  0.023
 7542.99618 13.235  0.035
 7543.93024 13.210  0.034
 7543.97976 13.223  0.034
 7544.02670 13.234  0.028
 7544.89743 13.218  0.030
 7544.94783 13.216  0.027
 7544.99229 13.273  0.040
 7545.91241 13.241  0.033
 7545.96099 13.221  0.032
 7546.00555 13.219  0.031
 7546.88315 13.223  0.033
 7546.93049 13.222  0.035
 7546.97445 13.223  0.030
 7547.92367 13.225  0.029
 7547.96733 13.210  0.030
 7548.01441 13.230  0.030
 7548.92854 13.218  0.029
 7548.97334 13.215  0.031
 7549.03233 13.252  0.032
 7549.91761 13.208  0.033
 7549.97206 13.210  0.033
 7550.01744 13.207  0.032
 7550.90879 13.210  0.033
 7550.95304 13.203  0.031
 7551.00329 13.214  0.031
 7554.91909 13.231  0.036
 7554.96542 13.225  0.017
 7555.01010 13.208  0.033
 7555.88051 13.214  0.031
 7555.92447 13.206  0.025
 7555.97284 13.221  0.030
 7558.89322 13.209  0.032
 7558.93890 13.204  0.031
 7558.98359 13.233  0.030
 7561.88825 13.219  0.029
 7561.93324 13.217  0.023
 7561.98245 13.224  0.032
 7562.84046 13.209  0.028
 7562.88893 13.225  0.032
 7562.93556 13.213  0.028
 7563.87604 13.226  0.035
 7563.92058 13.212  0.028
 7563.96431 13.230  0.030
 7564.87199 13.203  0.027
 7564.91742 13.204  0.028
 7564.96746 13.218  0.031
 7565.98442 13.225  0.033
 7567.91503 13.228  0.034
 7568.87641 13.221  0.022
 7573.81477 13.209  0.033
 7573.86632 13.216  0.028
 7573.91384 13.228  0.028
 7574.82639 13.233  0.031
 7574.87424 13.215  0.031
 7574.92093 13.225  0.025
 7575.80421 13.216  0.030
 7575.85813 13.215  0.026
 7575.90717 13.232  0.027
 7576.82917 13.217  0.032
 7576.87581 13.224  0.035
 7576.92400 13.226  0.032
 7577.80493 13.221  0.034
 7577.85231 13.214  0.028
 7577.89861 13.232  0.026
