\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0017348'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 15.527  0.053
 7487.11495 15.489  0.051
 7488.04462 15.521  0.056
 7488.09038 15.477  0.052
 7489.04510 15.533  0.052
 7489.10259 15.463  0.052
 7490.05190 15.511  0.051
 7490.10377 15.515  0.054
 7491.05685 15.943  0.097
 7491.10734 15.514  0.051
 7492.05271 15.672  0.083
 7492.10341 15.554  0.067
 7493.04391 15.663  0.068
 7493.09400 15.624  0.062
 7494.03789 15.525  0.056
 7494.08453 15.465  0.052
 7495.04279 15.500  0.055
 7495.09225 15.474  0.056
 7496.03225 16.077  0.123
 7496.09040 15.709  0.077
 7497.04919 15.731  0.073
 7497.09512 15.697  0.077
 7498.01350 15.571  0.062
 7498.05915 15.560  0.062
 7499.04435 15.659  0.063
 7499.08873 15.577  0.069
 7500.02532 15.488  0.060
 7500.07202 15.505  0.057
 7501.00590 15.600  0.065
 7501.05264 15.588  0.056
 7502.01901 15.640  0.053
 7502.06336 15.649  0.058
 7503.01180 15.615  0.067
 7503.05801 15.541  0.060
 7507.01340 15.495  0.060
 7507.06425 15.537  0.059
 7508.02649 15.514  0.055
 7508.07036 15.555  0.065
 7509.01677 15.516  0.053
 7509.06933 15.490  0.052
 7509.98799 15.572  0.071
 7510.09449 15.512  0.059
 7510.99913 15.579  0.067
 7511.04752 15.593  0.069
 7512.00318 15.511  0.060
 7512.05516 15.533  0.057
 7512.98435 15.575  0.067
 7513.03192 15.496  0.056
 7514.05536 15.499  0.049
 7514.97722 15.531  0.056
 7515.02352 15.533  0.052
 7515.97345 15.600  0.057
 7516.01958 15.557  0.061
 7516.98615 15.604  0.063
 7517.02928 15.509  0.060
 7518.99920 15.803  0.096
 7519.04785 15.864  0.083
 7520.00422 15.628  0.073
 7520.04975 15.542  0.061
 7521.00544 15.536  0.057
 7521.04886 15.558  0.055
 7523.02145 15.552  0.062
 7523.08499 15.502  0.062
 7523.98951 15.596  0.062
 7524.05395 15.511  0.056
 7524.98088 15.654  0.070
 7525.02608 15.644  0.075
 7525.97329 15.554  0.062
 7526.01817 15.525  0.062
 7526.97789 15.472  0.054
 7527.02906 15.599  0.078
 7527.95341 15.540  0.061
 7527.99707 15.586  0.066
 7528.95512 15.517  0.062
 7529.00357 15.497  0.056
 7529.94448 15.555  0.063
 7530.00102 15.531  0.058
 7530.98097 15.506  0.064
 7531.02832 15.530  0.062
 7531.96164 15.577  0.055
 7532.01243 15.515  0.056
 7535.01054 15.525  0.057
 7535.06379 15.500  0.055
 7535.95610 15.573  0.055
 7536.03505 15.501  0.050
 7537.95213 15.636  0.067
 7537.99682 15.647  0.064
 7538.97109 15.526  0.057
 7539.01476 15.493  0.052
 7539.92137 15.547  0.056
 7539.96979 15.658  0.083
 7540.94595 15.543  0.061
 7540.99538 15.498  0.055
 7541.92300 15.508  0.052
 7541.96951 15.517  0.053
 7542.02077 15.510  0.058
 7542.89753 15.617  0.070
 7542.94514 15.610  0.057
 7542.99618 15.551  0.060
 7543.93024 15.601  0.066
 7543.97976 15.530  0.065
 7544.02670 15.668  0.072
 7544.89743 15.520  0.053
 7544.94783 15.504  0.050
 7544.99229 15.603  0.070
 7545.91241 15.894  0.097
 7545.96099 15.594  0.063
 7546.00555 15.509  0.055
 7546.88315 15.562  0.059
 7546.93049 15.544  0.061
 7546.97445 15.559  0.055
 7547.92367 15.513  0.052
 7547.96733 15.507  0.053
 7548.01441 15.497  0.051
 7548.92854 15.505  0.052
 7548.97334 15.499  0.053
 7549.03233 15.520  0.060
 7549.91761 15.505  0.055
 7549.97206 15.502  0.056
 7550.01744 15.449  0.053
 7550.90879 15.536  0.059
 7550.95304 15.529  0.055
 7551.00329 15.503  0.053
 7554.91909 15.572  0.070
 7554.96542 15.576  0.047
 7555.01010 15.544  0.059
 7555.88051 15.521  0.055
 7555.92447 15.505  0.047
 7555.97284 15.488  0.054
 7558.89322 15.510  0.055
 7558.93890 15.459  0.052
 7558.98359 15.502  0.053
 7561.88825 15.561  0.053
 7561.93324 15.509  0.045
 7561.98245 15.523  0.058
 7562.84046 15.609  0.060
 7562.88893 15.582  0.061
 7562.93556 15.513  0.051
 7563.87604 15.559  0.060
 7563.92058 15.526  0.052
 7563.96431 15.555  0.057
 7564.87199 15.504  0.049
 7564.91742 15.489  0.051
 7564.96746 15.505  0.054
 7565.98442 15.510  0.057
 7567.91503 15.658  0.070
 7568.87641 15.640  0.064
 7573.81477 15.502  0.054
 7573.86632 15.467  0.050
 7573.91384 15.497  0.051
 7574.82639 15.617  0.064
 7574.87424 15.555  0.058
 7574.92093 15.584  0.054
 7575.80421 15.529  0.052
 7575.85813 15.483  0.045
 7575.90717 15.498  0.048
 7576.82917 15.553  0.056
 7576.87581 15.536  0.059
 7576.92400 15.523  0.055
 7577.80493 15.619  0.066
 7577.85231 15.550  0.053
 7577.89861 15.596  0.057
