\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0048582'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 11.708  0.028
 7487.11495 11.720  0.029
 7488.04462 11.722  0.032
 7488.09038 11.716  0.030
 7489.04510 11.719  0.027
 7489.10259 11.729  0.031
 7490.05190 11.724  0.027
 7490.10377 11.716  0.029
 7491.05685 11.704  0.031
 7491.10734 11.708  0.027
 7492.05271 11.721  0.028
 7492.10341 11.726  0.031
 7493.04391 11.737  0.028
 7493.09400 11.700  0.028
 7494.03789 11.710  0.031
 7494.08453 11.721  0.030
 7495.04279 11.712  0.030
 7495.09225 11.704  0.032
 7496.03225 11.690  0.024
 7496.09040 11.713  0.027
 7497.04919 11.723  0.029
 7497.09512 11.715  0.034
 7498.01350 11.719  0.030
 7498.05915 11.715  0.032
 7499.04435 11.719  0.024
 7499.08873 11.682  0.034
 7500.02532 11.710  0.037
 7500.07202 11.707  0.033
 7501.00590 11.708  0.033
 7501.05264 11.718  0.024
 7502.01901 11.694  0.017
 7502.06336 11.716  0.021
 7503.01180 11.697  0.031
 7503.05801 11.712  0.032
 7507.01340 11.727  0.036
 7507.06425 11.709  0.032
 7508.02649 11.705  0.030
 7508.07036 11.713  0.035
 7509.01677 11.715  0.028
 7509.06933 11.717  0.028
 7509.98799 11.724  0.039
 7510.09449 11.714  0.034
 7510.99913 11.706  0.035
 7511.04752 11.708  0.035
 7512.00318 11.711  0.035
 7512.05516 11.708  0.029
 7512.98435 11.719  0.037
 7513.03192 11.720  0.032
 7514.05536 11.712  0.025
 7514.97722 11.722  0.031
 7515.02352 11.714  0.026
 7515.97345 11.702  0.026
 7516.01958 11.703  0.030
 7516.98615 11.714  0.028
 7517.02928 11.705  0.031
 7518.99920 11.706  0.037
 7519.04785 11.709  0.022
 7520.00422 11.720  0.038
 7520.04975 11.707  0.032
 7521.00544 11.709  0.031
 7521.04886 11.717  0.025
 7523.02145 11.725  0.034
 7523.08499 11.710  0.035
 7523.98951 11.719  0.028
 7524.05395 11.722  0.029
 7524.98088 11.724  0.032
 7525.02608 11.748  0.033
 7525.97329 11.692  0.031
 7526.01817 11.703  0.034
 7526.97789 11.696  0.028
 7527.02906 11.719  0.038
 7527.95341 11.692  0.031
 7527.99707 11.674  0.031
 7528.95512 11.701  0.034
 7529.00357 11.701  0.030
 7529.94448 11.688  0.032
 7530.00102 11.699  0.027
 7530.98097 11.707  0.037
 7531.02832 11.695  0.033
 7531.96164 11.688  0.025
 7532.01243 11.695  0.029
 7535.01054 11.699  0.027
 7535.06379 11.690  0.026
 7535.95610 11.698  0.025
 7536.03505 11.686  0.023
 7537.95213 11.701  0.031
 7537.99682 11.690  0.026
 7538.97109 11.697  0.032
 7539.01476 11.705  0.028
 7539.92137 11.713  0.027
 7539.96979 11.670  0.042
 7540.94595 11.709  0.034
 7540.99538 11.681  0.028
 7541.92300 11.692  0.027
 7541.96951 11.691  0.026
 7542.02077 11.698  0.031
 7542.89753 11.703  0.034
 7542.94514 11.676  0.020
 7542.99618 11.703  0.032
 7543.93024 11.699  0.031
 7543.97976 11.710  0.031
 7544.02670 11.708  0.024
 7544.89743 11.705  0.028
 7544.94783 11.706  0.025
 7544.99229 11.751  0.037
 7545.91241 11.697  0.029
 7545.96099 11.702  0.029
 7546.00555 11.701  0.028
 7546.88315 11.700  0.030
 7546.93049 11.703  0.032
 7546.97445 11.706  0.027
 7547.92367 11.701  0.027
 7547.96733 11.698  0.028
 7548.01441 11.699  0.028
 7548.92854 11.687  0.027
 7548.97334 11.700  0.028
 7549.03233 11.715  0.029
 7549.91761 11.701  0.031
 7549.97206 11.695  0.031
 7550.01744 11.707  0.030
 7550.90879 11.714  0.030
 7550.95304 11.697  0.028
 7551.00329 11.710  0.029
 7554.91909 11.682  0.032
 7554.96542 11.710  0.014
 7555.01010 11.709  0.030
 7555.88051 11.689  0.029
 7555.92447 11.705  0.023
 7555.97284 11.701  0.027
 7558.89322 11.692  0.030
 7558.93890 11.703  0.029
 7558.98359 11.718  0.027
 7561.88825 11.702  0.026
 7561.93324 11.703  0.020
 7561.98245 11.680  0.029
 7562.84046 11.692  0.025
 7562.88893 11.705  0.029
 7562.93556 11.711  0.026
 7563.87604 11.701  0.032
 7563.92058 11.699  0.025
 7563.96431 11.702  0.027
 7564.87199 11.694  0.025
 7564.91742 11.695  0.026
 7564.96746 11.711  0.028
 7565.98442 11.698  0.030
 7567.91503 11.710  0.030
 7568.87641 11.694  0.019
 7573.81477 11.711  0.031
 7573.86632 11.702  0.026
 7573.91384 11.707  0.026
 7574.82639 11.726  0.027
 7574.87424 11.706  0.028
 7574.92093 11.708  0.022
 7575.80421 11.708  0.028
 7575.85813 11.712  0.024
 7575.90717 11.709  0.025
 7576.82917 11.695  0.029
 7576.87581 11.694  0.032
 7576.92400 11.694  0.029
 7577.80493 11.687  0.031
 7577.85231 11.695  0.025
 7577.89861 11.698  0.023
