KOI Name,Predicted Disposition,Probability,Period (days),T0 (BJD-2454833),Duration (hr),Impact,R_p/R*,Kepler ID
K02579.02,CONFIRMED,0.9881266,3.59645081,132.77209,2.661,0.7809999999999999,0.012,9896018
K02243.03,CONFIRMED,0.98807985,31.445270899999997,154.58136000000005,1.758,0.97,0.027999999999999997,4770617
K03344.03,CONFIRMED,0.9875431999999998,208.54335,230.9934,9.851,0.001,0.022000000000000002,11810124
K00944.01,CONFIRMED,0.98646903,3.1082511719999997,170.244566,2.5048,0.9,0.048,9595686
K00901.01,CONFIRMED,0.9863944,12.732624065,176.939054,2.2083,0.8109999999999999,0.083,8013419
K01358.03,CONFIRMED,0.9857482,3.64830183,355.39128,1.9985,0.063,0.017,7376983
K00531.01,CONFIRMED,0.9855938,3.6874698319999997,170.8803594,1.0668,0.919,0.087,10395543
K02597.03,CONFIRMED,0.98554194,5.61357653,131.81669,2.905,0.11900000000000001,0.012,12120307
K02169.04,CONFIRMED,0.98482025,2.19251903,132.2332,1.845,0.616,0.004,9006186
K00787.03,CONFIRMED,0.984553,0.5893769520000001,131.8694,1.71,0.491,0.008,12366084
K01358.04,CONFIRMED,0.98370004,2.3458630019999998,354.11185,1.6795,0.035,0.016,7376983
K01427.02,CONFIRMED,0.9828135,4.88446644,135.24743999999998,2.057,0.7759999999999999,0.015,11129738
K01833.02,CONFIRMED,0.9825702,7.68433346,133.36007,1.4346,0.951,0.040999999999999995,11853878
K02303.02,CONFIRMED,0.98231846,8.93484887,133.39108000000002,2.5789999999999997,0.888,0.012,4458082
K01541.01,CONFIRMED,0.9823154,2.3792821969999998,133.651365,3.1729,0.003,0.203,4840513
K02169.03,CONFIRMED,0.98196626,4.27226421,133.21863000000002,2.113,0.7440000000000001,0.006999999999999999,9006186
K01448.01,CONFIRMED,0.98043346,2.48658617,134.11036399999998,2.7189,0.079,0.18600000000000005,9705459
K00521.01,CONFIRMED,0.9803784,10.161023528,172.00073600000005,3.1627,0.716,0.04,8162789
K03019.02,CONFIRMED,0.9803666,2.012094,131.5688,2.157,0.066,0.008,8709688
K01338.03,CONFIRMED,0.9765048,21.0112068,132.6336,4.507,0.853,0.013000000000000001,4466677
K02184.02,CONFIRMED,0.9762222,95.906433,226.921,4.08,0.5760000000000001,0.027000000000000003,12885212
K00650.01,CONFIRMED,0.9756075,11.95474513,178.72169399999999,2.1433,0.601,0.027999999999999997,5786676
K02722.05,CONFIRMED,0.9753084,16.5340022,135.409,4.063,0.525,0.009000000000000001,7673192
K02719.02,CONFIRMED,0.975173,106.25976000000001,132.2417,6.101,0.209,0.017,5184911
K02352.03,CONFIRMED,0.9750494,8.256285700000001,137.9267,2.0378,0.816,0.006,8013439
K04288.02,CONFIRMED,0.97492546,9.08745206,139.99222,3.786,0.341,0.005,4548011
K02534.02,CONFIRMED,0.9747139,5.42204257,133.46021000000002,2.952,0.94,0.01,1996180
K04021.02,CONFIRMED,0.97441494,4.93211932,132.4538,3.1439999999999997,0.034,0.006999999999999999,11967788
K01499.03,CONFIRMED,0.97306377,6.20920207,136.87938,2.637,0.272,0.009000000000000001,7841925
K01627.03,CONFIRMED,0.97221494,3.80675878,133.7492,2.092,0.26,0.013999999999999999,6543893
K02871.04,CONFIRMED,0.9720087,7.9788198,132.2596,2.8739999999999997,0.05,0.008,10793172
K00339.03,CONFIRMED,0.9706335,35.8656484,135.92373999999998,8.035,0.963,0.019,10587105
K00641.01,CONFIRMED,0.96996784,14.85185526,177.9987,3.5263,0.815,0.038,5131180
K00601.02,CONFIRMED,0.9692869,11.67894236,131.5119,1.2641,0.94,0.04,10973664
K02585.03,CONFIRMED,0.9691911,7.87845756,138.58643999999998,3.912,0.562,0.006,7673841
K04157.02,CONFIRMED,0.9682857,5.215751999999998,133.404,1.13,0.7290000000000001,0.006999999999999999,4548098
K01831.04,CONFIRMED,0.96806,13.97945055,142.33829,1.2325,0.924,0.022000000000000002,11601584
