\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009468_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:05 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454450.664386 13.46798 0.00526 
 2454460.634944 13.46658 0.00663 
 2454460.640304 13.47025 0.00668 
 2454461.630294 13.46805 0.00542 
 2454461.635650 13.45845 0.00553 
 2454461.641009 13.48195 0.00549 
 2454462.631829 13.48545 0.00525 
 2454462.637189 13.46376 0.00530 
 2454463.627305 13.47974 0.00509 
 2454463.632664 13.47394 0.00505 
 2454464.622717 13.49545 0.00520 
 2454464.628076 13.47294 0.00532 
 2454464.633437 13.47083 0.00516 
 2454465.623549 13.48637 0.00522 
 2454465.628908 13.48573 0.00521 
 2454731.906846 13.45995 0.00585 
 2454731.913903 13.48038 0.00563 
 2454731.920953 13.47124 0.00519 
 2454731.928018 13.45480 0.00522 
 2454731.935075 13.45552 0.00558 
 2454731.942128 13.44253 0.00570 
 2454731.949184 13.46079 0.00559 
 2454731.956232 13.46400 0.00567 
 2454731.960957 13.46986 0.00586 
 2454731.965660 13.47282 0.00594 
 2454731.970378 13.47457 0.00601 
 2454731.991444 13.47169 0.00563 
 2454731.993643 13.47499 0.00578 
 2454731.995831 13.46063 0.00577 
 2454731.998037 13.45614 0.00553 
 2454732.000225 13.46712 0.00564 
 2454732.002434 13.44439 0.00589 
 2454732.004629 13.43189 0.00592 
 2454732.006828 13.45766 0.00614 
 2454732.009028 13.46681 0.00660 
 2454732.011219 13.46928 0.00729 
 2454732.013426 13.47384 0.00842 
 2454732.911568 13.47394 0.00521 
 2454732.918624 13.48477 0.00487 
 2454732.925683 13.45789 0.00509 
 2454732.932736 13.45835 0.00533 
 2454732.939785 13.46068 0.00537 
 2454732.946843 13.45678 0.00526 
 2454732.953893 13.45821 0.00536 
 2454732.958605 13.47586 0.00542 
 2454732.963321 13.48689 0.00556 
 2454732.968038 13.48253 0.00556 
 2454732.989102 13.48023 0.00523 
 2454732.991292 13.47431 0.00519 
 2454732.993501 13.46261 0.00522 
 2454732.995701 13.46569 0.00539 
 2454732.997901 13.46101 0.00543 
 2454733.000096 13.44931 0.00549 
 2454733.002288 13.45944 0.00539 
 2454733.004495 13.45086 0.00550 
 2454733.006681 13.45676 0.00572 
 2454733.008892 13.46124 0.00610 
