\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:26 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454048.696984 14.12643 0.01084 
 2454048.699084 14.13170 0.01108 
 2454048.703605 14.10593 0.01055 
 2454048.708124 14.11993 0.01106 
 2454048.712704 14.10156 0.01049 
 2454048.717223 14.12148 0.01071 
 2454048.721743 14.12072 0.01073 
 2454048.726267 14.10185 0.01055 
 2454048.730787 14.11805 0.01090 
 2454048.735304 14.10790 0.01055 
 2454048.739824 14.10312 0.01054 
 2454048.744344 14.11359 0.01078 
 2454048.748864 14.11874 0.01088 
 2454048.753384 14.11555 0.01081 
 2454050.661443 14.12328 0.00858 
 2454050.665961 14.10905 0.00876 
 2454050.670486 14.12330 0.00920 
 2454050.675859 14.11426 0.00846 
 2454050.681227 14.12525 0.00872 
 2454050.686590 14.12490 0.00843 
 2454050.691959 14.13420 0.00828 
 2454050.694063 14.12349 0.00824 
 2454050.698585 14.12270 0.00874 
 2454050.703103 14.11862 0.00847 
 2454050.707628 14.13592 0.00816 
 2454050.712143 14.11527 0.00850 
 2454050.721189 14.12940 0.00849 
 2454050.725707 14.11847 0.00862 
 2454050.730228 14.12718 0.00859 
 2454050.734754 14.11359 0.00875 
 2454050.739272 14.11869 0.00896 
 2454050.743796 14.11986 0.00901 
 2454050.748318 14.12273 0.00900 
 2454052.657430 14.11379 0.00950 
 2454052.661956 14.13565 0.00888 
 2454052.666475 14.11618 0.00844 
 2454052.671844 14.10766 0.00803 
 2454052.677207 14.12874 0.00895 
 2454052.682575 14.12521 0.00868 
 2454052.687946 14.12653 0.00847 
 2454052.690052 14.11397 0.00831 
 2454052.694574 14.12676 0.00848 
 2454052.699097 14.11913 0.00892 
 2454052.703616 14.12169 0.00866 
 2454052.708139 14.10912 0.00876 
 2454052.712656 14.13039 0.00866 
 2454052.717178 14.12187 0.00896 
 2454052.721694 14.11421 0.00852 
 2454052.730734 14.12254 0.00898 
 2454052.735259 14.13145 0.00873 
 2454052.739783 14.12668 0.00854 
 2454052.744299 14.12316 0.00927 
 2454053.651245 14.12467 0.00830 
 2454053.655770 14.11331 0.00905 
 2454053.660295 14.13380 0.00822 
 2454053.664818 14.13392 0.00880 
 2454053.670182 14.10641 0.00862 
 2454053.675551 14.11801 0.00822 
 2454053.680921 14.12713 0.00855 
 2454053.686292 14.12979 0.00841 
 2454053.688397 14.12278 0.00852 
 2454053.692922 14.12269 0.00843 
 2454053.697438 14.11302 0.00788 
 2454053.706490 14.13023 0.00781 
 2454053.711014 14.11487 0.00804 
 2454053.715536 14.10461 0.00772 
 2454053.720054 14.12554 0.00765 
 2454053.724578 14.11896 0.00772 
