\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454460.640304 12.04359 0.00255 
 2454461.630294 12.04247 0.00224 
 2454461.635650 12.04122 0.00227 
 2454461.641009 12.04728 0.00228 
 2454462.631829 12.03708 0.00217 
 2454462.637189 12.03944 0.00216 
 2454463.627305 12.04673 0.00214 
 2454463.632664 12.04463 0.00211 
 2454464.622717 12.04336 0.00219 
 2454464.628076 12.03889 0.00223 
 2454464.633437 12.04319 0.00218 
 2454465.623549 12.03128 0.00223 
 2454465.628908 12.04998 0.00219 
 2454731.906846 12.04262 0.00234 
 2454731.913903 12.03446 0.00226 
 2454731.920953 12.05592 0.00213 
 2454731.928018 12.04984 0.00210 
 2454731.935075 12.04604 0.00223 
 2454731.942128 12.04885 0.00225 
 2454731.949184 12.04985 0.00222 
 2454731.956232 12.04546 0.00225 
 2454731.960957 12.04975 0.00229 
 2454731.965660 12.04159 0.00232 
 2454731.970378 12.04525 0.00235 
 2454731.991444 12.03883 0.00223 
 2454731.993643 12.04241 0.00229 
 2454731.995831 12.04363 0.00228 
 2454731.998037 12.04579 0.00218 
 2454732.000225 12.05007 0.00222 
 2454732.002434 12.04181 0.00229 
 2454732.004629 12.04871 0.00227 
 2454732.006828 12.04294 0.00234 
 2454732.009028 12.04721 0.00245 
 2454732.011219 12.04443 0.00261 
 2454732.013426 12.05408 0.00287 
 2454732.911568 12.04107 0.00215 
 2454732.918624 12.05502 0.00204 
 2454732.925683 12.05039 0.00210 
 2454732.932736 12.04543 0.00217 
 2454732.939785 12.04981 0.00216 
 2454732.946843 12.04890 0.00213 
 2454732.953893 12.04834 0.00215 
 2454732.958605 12.04327 0.00216 
 2454732.963321 12.03842 0.00221 
 2454732.968038 12.04328 0.00221 
 2454732.989102 12.04131 0.00213 
 2454732.991292 12.04447 0.00212 
 2454732.993501 12.04540 0.00212 
 2454732.995701 12.04468 0.00219 
 2454732.997901 12.04592 0.00219 
 2454733.000096 12.04782 0.00218 
 2454733.002288 12.04530 0.00214 
 2454733.004495 12.04890 0.00217 
 2454733.006681 12.04896 0.00223 
 2454733.008892 12.05034 0.00233 
 2454733.011090 12.04658 0.00245 
 2454733.013279 12.04469 0.00267 
 2454733.901125 12.03871 0.00209 
 2454733.911292 12.03495 0.00215 
 2454733.921461 12.04267 0.00207 
 2454733.975612 12.04996 0.00198 
 2454733.987543 12.04258 0.00197 
 2454733.992276 12.03658 0.00210 
 2454733.997003 12.04003 0.00209 
 2454734.001726 12.04116 0.00210 
 2454734.006453 12.04606 0.00220 
 2454734.011183 12.04798 0.00237 
 2454734.905837 12.03727 0.00211 
 2454734.918267 12.04607 0.00217 
 2454734.930691 12.05190 0.00212 
 2454734.943120 12.04723 0.00215 
 2454734.960785 12.03978 0.00205 
 2454734.976174 12.03747 0.00200 
 2454735.007888 12.03682 0.00224 
