Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),RA Error,Dec (J2000),Dec Error,Disc Method,Number of Planets,Planet Radius,Planet Radius err1,Planet Radius err2,Planet Radius Limit Flag,# Planet Radius Measurements,Semi-Major Axis,Semi-Major Axis err1,Semi-Major Axis err2,Semi-Major Axis Flag,# Semi-Major Axis Measurements,Orbital Eccentricity,Orbital Eccentricity err1,Orbital Eccentricity err2,Orbital Eccentricity Limit Flag,# Orbital Eccentricity Measurements,Orbital Inclination,Orbital Inclination err1,Orbital Inclination err2,Orbital Inclination Limit Flag,# Orbital Inclination Measurements,Planet Mass,Planet mass err1,Planet mass err2,Planet mass Limit Flag,# Planet mass Measurements,Planet mass Provenence,Planet Density,Planet Density err1,Planet Density err2,Planet Density Limit Flag,# Planet Density Measurements,Period,Period err1,Period err2,Period Limit Flag,# Period Measurements,Kepler Flag,K2 Flag,Stellar Mass,Stellar Mass err1,Stellar Mass err2,Stellar Mass Limit Flag,# Stellar Mass Measurements,Stellar Radius,Stellar Radius err1,Stellar Radius err2,Stellar Radius Limit Flag,# Stellar radius Measurements,Stellar Distance,Stellar Distance err1,Stellar Distance err2,Stellar  Distance limit Flag,# Stellar Distance Measurements,Stellar Optical mag,Stellar Optical mag err,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff,Stellar Teff err1,Stellar Teff err2,Stellar Teff Limit Flag,# Stellar Teff Measurements,# of Planet Notes,Last Update,Gaia gmag,Gaia gmag Err,Gaia gmag Limit Flag,Kepmag,K2 Campaign,Discovery Facility
integer,string,integer,string,ra,real,dec,real,string,integer,float,float,float,integer,integer,float,float,float,integer,integer,float,float,float,integer,integer,float,float,float,integer,integer,float,float,float,integer,integer,string,float,float,float,integer,integer,float,float,float,integer,integer,integer,integer,float,float,float,float,integer,float,float,float,integer,integer,float,float,float,integer,integer,float,float,integer,string,integer,integer,integer,integer,integer,integer,string,float,float,integer,float,string,string
1,K2-1 b,60017806,WASP-28 b,23 34 27.876,0.0,-01 34 48.23,0.0,Transit,1,1.213,0.042,-0.042,0,3,0.045,7.600e-4,-7.600e-4,0,3,0.000,,,0,1,88.610,0.670,-0.670,0,3,0.907,0.043,-0.043,0,3,Mass,0.676,0.063,-0.063,0,2,3.409,6.000e-6,-6.000e-6,0,3,0,1,1.020,0.050,-0.050,0.000,3,1.090,0.030,-0.030,0,4,410.000,70.000,-70.000,0,2,12.030,,0,V (Johnson),6150,140,-140,0,3,0,2015-03-05,,,,11.500,E,SuperWASP
2,K2-2 b,60021410,HIP 116454 b,23 35 49.285,0.0,+00 26 43.86,0.0,Transit,1,0.220,0.010,-0.010,0,2,,,,0,1,0.200,0.070,-0.070,0,2,88.430,0.400,-0.400,0,2,0.040,0.010,-0.010,0,2,Mass,,,,0,1,9.120,5.000e-4,-5.000e-4,0,2,0,1,0.810,0.110,-0.110,0.000,2,0.720,0.020,-0.020,0,2,55.200,5.400,-5.400,0,3,10.190,0.009,0,V (Johnson),5089,50,-50,0,2,0,2018-04-26,9.861,,0,9.507,E,K2
3,K2-3 b,201367065,K2-3 b,11 29 20.387,0.0,-01 27 17.23,0.0,Transit,3,0.194,0.027,-0.027,0,7,0.077,0.004,-0.004,0,5,,,,,2,88.800,0.840,-1.120,0,3,,,,,2,,,,,,2,10.054,2.600e-4,-2.600e-4,0,7,0,1,0.600,0.090,-0.090,0.000,6,0.560,0.070,-0.070,0,7,,,,,0,12.170,0.010,0,V (Johnson),3896,189,-189,0,5,0,2016-07-07,,,,11.574,1,K2
4,K2-3 c,201367065,K2-3 c,11 29 20.387,0.0,-01 27 17.23,0.0,Transit,3,0.165,0.024,-0.024,0,7,0.140,0.007,-0.007,0,5,,,,,2,89.120,0.620,-0.860,0,3,,,,,2,,,,,,2,24.644,0.001,-0.001,0,7,0,1,0.600,0.090,-0.090,0.000,6,0.560,0.070,-0.070,0,7,,,,,0,12.170,0.010,0,V (Johnson),3896,189,-189,0,5,1,2016-07-07,,,,11.574,1,K2
5,K2-3 d,201367065,K2-3 d,11 29 20.387,0.0,-01 27 17.23,0.0,Transit,3,0.135,0.021,-0.021,0,6,0.208,0.010,-0.010,0,4,,,,,2,89.380,0.430,-0.640,0,3,,,,,2,,,,,,2,44.560,0.006,-0.006,0,7,0,1,0.600,0.090,-0.090,0.000,6,0.560,0.070,-0.070,0,7,,,,,0,12.170,0.010,0,V (Johnson),3896,189,-189,0,5,3,2016-07-07,,,,11.574,1,K2
6,K2-4 b,201208431,K2-4 b,11 38 58.953,0.0,-03 54 20.11,0.0,Transit,1,0.187,0.018,-0.017,0,3,0.078,0.003,-0.003,0,3,0.080,0.161,-0.069,0,1,89.540,0.320,-0.430,0,1,,,,0,0,,,,,0,0,10.003,0.001,-9.960e-4,0,3,0,1,0.640,0.060,-0.060,0.000,3,0.570,0.050,-0.050,0,3,,,,,0,14.907,0.030,0,V (Johnson),4014.73,173.12,-154.56999999999999,0,3,0,2017-10-26,,,,14.409,1,K2
7,K2-5 b,201338508,K2-5 b,11 17 12.839,0.0,-01 52 40.71,0.0,Transit,2,0.170,0.039,-0.039,0,3,0.053,0.004,-0.004,0,3,,,,,0,87.350,1.880,-3.370,0,1,,,,,0,,,,,,0,5.736,6.400e-4,-6.400e-4,0,3,0,1,0.610,0.130,-0.130,0.000,3,0.570,0.120,-0.120,0,3,,,,,0,14.910,0.030,0,V (Johnson),3930,375,-375,0,3,0,2016-07-07,,,,14.364,1,K2
8,K2-5 c,201338508,K2-5 c,11 17 12.839,0.0,-01 52 40.71,0.0,Transit,2,0.202,0.055,-0.055,0,3,0.082,0.006,-0.006,0,3,,,,,0,86.950,2.470,-2.470,0,1,,,,,0,,,,,,0,10.932,0.001,-0.001,0,3,0,1,0.610,0.130,-0.130,0.000,3,0.570,0.120,-0.120,0,3,,,,,0,14.910,0.030,0,V (Johnson),3930,375,-375,0,3,0,2016-07-07,,,,14.364,1,K2
9,K2-6 b,201384232,K2-6 b,11 52 46.143,0.0,-01 11 54.52,0.0,Transit,1,0.223,0.079,-0.079,0,3,0.190,0.006,-0.006,0,2,,,,,0,,,,,1,,,,,0,,,,,,0,30.942,0.005,-0.005,0,3,0,1,0.970,0.070,-0.070,0.000,3,0.960,0.140,-0.090,0,3,,,,,0,12.654,0.040,0,V (Johnson),5850,79,-98,0,3,0,2015-07-16,,,,12.510,1,K2
10,K2-7 b,201393098,K2-7 b,11 08 22.504,0.0,-01 03 56.72,0.0,Transit,1,0.238,0.050,-0.050,0,2,0.181,0.004,-0.004,0,2,,,,,0,,,,,0,,,,,0,,,,,,0,28.680,0.009,-0.009,0,2,0,1,0.970,0.060,-0.060,0.000,2,0.960,0.170,-0.080,0,2,,,,,0,13.213,0.030,0,V (Johnson),5772,72,-91,0,2,0,2015-07-16,,,,13.054,1,K2
